full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,registered_year_Imputation,km_group,max_power_clean_bhp,mileage_number,mileage_unit,boxcox_resale_price
2016 Maruti Wagon R LXI CNG,3891.24,2016.0,998.0,Third Party,Manual,40000.0,First Owner,CNG,5.0,26.6 kmpl,Hatchback,Agra,2016.0,20k-60k,58.0,26.0,kmpl,3.342246062789089
2011 Toyota Etios VX,3213.06,2011.0,1496.0,Third Party,Manual,50000.0,Second Owner,Petrol,5.0,17.6 kmpl,Sedan,Agra,2011.0,20k-60k,88.0,17.6,kmpl,3.3204553767051586
2011 Toyota Corolla Altis Diesel D4DGL,3135.23,2011.0,1364.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,21.43 kmpl,Sedan,Agra,2011.0,100k+,87.0,21.43,kmpl,3.317584151948014
2021 Kia Sonet HTX Plus Turbo iMT BSVI,11117.84,2021.0,998.0,Third Party,Manual,11000.0,First Owner,Petrol,5.0,18.2 kmpl,SUV,Agra,2021.0,0-20k,118.0,18.2,kmpl,3.4438400174107544
2020 Maruti Ciaz Alpha BSVI,8727.5,2020.0,1462.0,Third Party,Manual,30000.0,Second Owner,Petrol,5.0,20.65 kmpl,Sedan,Agra,2020.0,20k-60k,103.0,20.65,kmpl,3.422865024350895
2014 Ford Ecosport 1.5 DV5 MT Ambiente,3335.35,2014.0,1498.0,Third Party,Manual,120000.0,Third Owner,Diesel,5.0,22.7 kmpl,SUV,Agra,2014.0,100k+,89.0,22.7,kmpl,3.324793356995052
2011 Mitsubishi Outlander 2.4,4413.78,2011.0,2360.0,Third Party,Automatic,80000.0,Second Owner,Petrol,5.0,11.3 kmpl,SUV,Agra,2011.0,60k-100k,167.67,13.0,kmpl,3.355989914191438
2015 Maruti Swift Dzire VDI,4169.19,2015.0,1248.0,Third Party,Manual,20000.0,First Owner,Diesel,5.0,26.59 kmpl,Sedan,Agra,2015.0,0-20k,74.0,26.0,kmpl,3.3498286097594283
2011 Maruti Alto K10 LXI,2167.98,2011.0,998.0,Third Party,Manual,120000.0,Third Owner,Petrol,5.0,20.92 kmpl,Hatchback,Agra,2011.0,100k+,67.0,20.92,kmpl,3.2720495782982733
2021 Maruti Baleno Zeta,7504.54,2021.0,1197.0,Third Party,Manual,40000.0,First Owner,Petrol,5.0,21.01 kmpl,Hatchback,Agra,2021.0,20k-60k,81.0,21.01,kmpl,3.4090831559842654
2018 Hyundai Xcent 1.2 VTVT SX,5169.8,2018.0,1197.0,Third Party,Manual,60000.0,Second Owner,Petrol,5.0,20.14 kmpl,Sedan,Agra,2018.0,20k-60k,81.0,20.14,kmpl,3.372595906517871
2015 Maruti Swift Dzire VXI,5336.56,2015.0,1197.0,Third Party,Manual,80000.0,Second Owner,Petrol,5.0,20.85 kmpl,Sedan,Agra,2015.0,60k-100k,83.0,20.85,kmpl,3.375847040002554
2014 Maruti Alto 800 LXI,2501.51,2014.0,998.0,Third Party,Manual,100000.0,First Owner,Petrol,5.0,22.74 kmpl,Hatchback,Agra,2014.0,60k-100k,58.0,22.74,kmpl,3.2902447450748276
2016 Maruti Wagon R VXI Optional,3557.71,2016.0,998.0,Third Party,Manual,70000.0,Second Owner,Petrol,5.0,20.51 kmpl,Hatchback,Agra,2016.0,60k-100k,67.0,20.51,kmpl,3.3321876228486276
2015 Hyundai Grand i10 Sportz,4613.9,2015.0,1197.0,Third Party,Manual,30000.0,First Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2015.0,20k-60k,82.0,18.9,kmpl,3.3607179775800424
2012 Maruti Swift VDI,2668.28,2012.0,1248.0,Third Party,Manual,120000.0,Third Owner,Diesel,5.0,22.9 kmpl,Hatchback,Agra,2012.0,100k+,74.0,22.9,kmpl,3.2982271018966305
2013 Mahindra XUV500 W6 2WD,3891.24,2013.0,2179.0,Third Party,Manual,100000.0,Third Owner,Diesel,7.0,15.1 kmpl,SUV,Agra,2013.0,60k-100k,140.0,15.1,kmpl,3.342246062789089
2013 Tata New Safari DICOR 2.2 EX 4x2,3290.88,2013.0,2179.0,Third Party,Manual,90000.0,Second Owner,Diesel,7.0,11.57 kmpl,SUV,Agra,2013.0,60k-100k,138.0,13.0,kmpl,3.3232395208761023
2018 Tata Tiago 1.2 Revotron XE,3513.24,2018.0,1199.0,Third Party,Manual,100000.0,First Owner,Petrol,5.0,23.84 kmpl,Hatchback,Agra,2018.0,60k-100k,84.0,23.84,kmpl,3.3307564628060353
2017 Maruti Vitara Brezza ZDi Plus Dual Tone,8338.38,2017.0,1248.0,Third Party,Manual,100000.0,Second Owner,Diesel,5.0,24.3 kmpl,SUV,Agra,2017.0,60k-100k,88.0,24.3,kmpl,3.418759556158009
2019 Maruti Ertiga VDI,10006.06,2019.0,1248.0,Third Party,Manual,120000.0,First Owner,Diesel,7.0,25.47 kmpl,MUV,Agra,2019.0,100k+,88.0,25.47,kmpl,3.4348765613991263
2022 Maruti Celerio VXI BSVI,6225.99,2022.0,998.0,Third Party,Manual,11000.0,First Owner,Petrol,5.0,25.24 kmpl,Hatchback,Agra,2022.0,0-20k,65.0,25.24,kmpl,3.391248663612552
2017 Maruti Vitara Brezza ZDi Plus,8894.27,2017.0,1248.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,24.3 kmpl,SUV,Agra,2017.0,100k+,88.0,24.3,kmpl,3.4245542345521067
2017 Hyundai Creta 1.4 E Plus,10006.06,2017.0,1396.0,Third Party,Manual,120000.0,Second Owner,Diesel,5.0,22.1 kmpl,SUV,Agra,2017.0,100k+,88.0,22.1,kmpl,3.4348765613991263
2019 Maruti Alto 800 LXI,3113.0,2019.0,998.0,Third Party,Manual,80000.0,First Owner,Petrol,5.0,22.05 kmpl,Hatchback,Agra,2019.0,60k-100k,58.0,22.05,kmpl,3.3167474587809456
2013 Toyota Innova 2.5 E Diesel MS 7-seater,6114.81,2013.0,2360.0,Third Party,Manual,90000.0,Second Owner,Diesel,7.0,11.4 kmpl,MUV,Agra,2013.0,60k-100k,100.0,13.0,kmpl,3.389480790714058
2009 Toyota Innova 2.5 G (Diesel) 7 Seater BS III,2779.46,2009.0,2360.0,Third Party,Manual,120000.0,First Owner,Diesel,8.0,12.8 kmpl,MUV,Agra,2009.0,100k+,102.0,13.0,kmpl,3.303205809563907
2011 Tata Manza Aqua Quadrajet,2167.98,2011.0,1248.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,18.8 kmpl,Sedan,Agra,2011.0,100k+,88.77,18.8,kmpl,3.2720495782982733
2017 Hyundai Grand i10 1.2 CRDi Sportz Option,5336.56,2017.0,1186.0,Third Party,Manual,20000.0,First Owner,Diesel,5.0,24 kmpl,Hatchback,Agra,2017.0,0-20k,73.0,24.000000000000004,kmpl,3.375847040002554
2017 Maruti Eeco CNG 5 Seater AC BSIV,3335.35,2017.0,1196.0,Third Party,Manual,120000.0,First Owner,CNG,5.0,21.94 km/kg,Minivans,Agra,2017.0,100k+,61.0,21.94,km/kg,3.324793356995052
2014 Audi A4 2.0 TDI,13341.41,2014.0,1968.0,Third Party,Automatic,30000.0,Second Owner,Diesel,5.0,16.55 kmpl,Sedan,Agra,2014.0,20k-60k,147.0,16.550000000000004,kmpl,3.4587696191346655
2022 Hyundai i20 Sportz BSVI,8894.27,2022.0,1197.0,Third Party,Manual,11000.0,First Owner,Petrol,5.0,21 kmpl,Hatchback,Agra,2022.0,0-20k,81.0,21.0,kmpl,3.4245542345521067
2012 Volkswagen Polo Diesel Trendline 1.2L,2223.57,2012.0,1199.0,Third Party,Manual,80000.0,Fifth Owner,Diesel,5.0,22.07 kmpl,Hatchback,Agra,2012.0,60k-100k,73.0,22.07,kmpl,3.2753194486452664
2019 Maruti Vitara Brezza VDi,8227.2,2019.0,1248.0,Third Party,Manual,80000.0,Second Owner,Diesel,5.0,24.3 kmpl,SUV,Agra,2019.0,60k-100k,88.0,24.3,kmpl,3.4175417822193523
2009 Hyundai Santro Xing GLS,2167.98,2009.0,1086.0,Third Party,Manual,30000.0,First Owner,Petrol,5.0,17.92 kmpl,Hatchback,Agra,2009.0,20k-60k,62.0,17.92,kmpl,3.2720495782982733
2016 Maruti Swift Dzire VDI,5781.28,2016.0,1248.0,Third Party,Manual,30000.0,First Owner,Diesel,5.0,26.59 kmpl,Sedan,Agra,2016.0,20k-60k,74.0,26.0,kmpl,3.383923222454958
2010 Hyundai i10 Sportz 1.2,2167.98,2010.0,1197.0,Third Party,Manual,80000.0,Third Owner,Petrol,5.0,20.36 kmpl,Hatchback,Agra,2010.0,60k-100k,78.0,20.36,kmpl,3.2720495782982733
2021 Hyundai Venue S BSIV,7893.67,2021.0,1197.0,Third Party,Manual,30000.0,First Owner,Petrol,5.0,17.52 kmpl,SUV,Agra,2021.0,20k-60k,81.0,17.52,kmpl,3.413759826535688
2021 Skoda Rapid 1.0 TSI Onyx,10561.95,2021.0,999.0,Third Party,Manual,20000.0,First Owner,Petrol,5.0,18.97 kmpl,Sedan,Agra,2021.0,0-20k,108.0,18.97,kmpl,3.439507660281695
2013 Ford Figo Diesel ZXI,2668.28,2013.0,1399.0,Third Party,Manual,70000.0,First Owner,Diesel,5.0,20 kmpl,Hatchback,Agra,2013.0,60k-100k,68.0,20.0,kmpl,3.2982271018966305
2021 Skoda Rapid 1.0 TSI Onyx,10339.59,2021.0,999.0,Third Party,Manual,20000.0,First Owner,Petrol,5.0,18.97 kmpl,Sedan,Agra,2021.0,0-20k,108.0,18.97,kmpl,3.437693067255971
2022 MG Hector Plus Select Diesel MT 7 STR,21368.49,2022.0,1956.0,Third Party,Manual,20000.0,First Owner,Diesel,7.0,16.56 kmpl,SUV,Agra,2022.0,0-20k,167.0,16.560000000000002,kmpl,3.494150787632501
2013 Hyundai EON D Lite,2167.98,2013.0,998.0,Third Party,Manual,50000.0,Second Owner,Petrol,5.0,21.1 kmpl,Hatchback,Agra,2013.0,20k-60k,58.0,21.1,kmpl,3.2720495782982733
2015 Hyundai Grand i10 Magna,4224.78,2015.0,1197.0,Third Party,Manual,30000.0,First Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2015.0,20k-60k,82.0,18.9,kmpl,3.3512684478272874
2021 Tata Punch Adventure BSVI,6559.53,2021.0,1199.0,Third Party,Manual,30000.0,First Owner,Petrol,5.0,20.09 kmpl,SUV,Agra,2021.0,20k-60k,86.0,20.09,kmpl,3.396321276478827
2016 Volkswagen Polo 1.5 TDI Comfortline,4447.14,2016.0,1498.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,20.14 kmpl,Hatchback,Agra,2016.0,100k+,88.0,20.14,kmpl,3.356796723820971
2013 Toyota Etios Liva GD,3335.35,2013.0,1364.0,Third Party,Manual,40000.0,First Owner,Diesel,5.0,23.59 kmpl,Hatchback,Agra,2013.0,20k-60k,67.0,23.59,kmpl,3.324793356995052
2017 Renault Duster 85PS Diesel RxE,5558.92,2017.0,1461.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,19.87 kmpl,SUV,Agra,2017.0,100k+,83.0,19.87,kmpl,3.379987401051176
2015 Maruti Alto 800 LXI,2334.75,2015.0,998.0,Third Party,Manual,20000.0,First Owner,Petrol,5.0,22.74 kmpl,Hatchback,Agra,2015.0,0-20k,58.0,22.74,kmpl,3.2815590646818955
2009 Maruti Wagon R LX Minor,2167.98,2009.0,998.0,Third Party,Manual,90000.0,Second Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2009.0,60k-100k,67.0,18.9,kmpl,3.2720495782982733
2015 Mahindra XUV500 W10 2WD,10006.06,2015.0,2179.0,Third Party,Manual,50000.0,First Owner,Diesel,7.0,16 kmpl,SUV,Agra,2015.0,20k-60k,140.0,16.0,kmpl,3.4348765613991263
2020 Kia Seltos HTX Diesel,14997.97,2020.0,1493.0,Third Party,Manual,70000.0,First Owner,Diesel,5.0,20.8 kmpl,SUV,Agra,2020.0,60k-100k,113.0,20.8,kmpl,3.4679790854448407
2019 Maruti Swift Dzire VDI,7226.6,2019.0,1248.0,Third Party,Manual,50000.0,First Owner,Diesel,5.0,28.4 kmpl,Sedan,Agra,2019.0,20k-60k,74.0,26.0,kmpl,3.405550634802963
2019 Maruti Wagon R LXI,5280.97,2019.0,998.0,Third Party,Manual,20000.0,First Owner,Petrol,5.0,21.79 kmpl,Hatchback,Agra,2019.0,0-20k,67.0,21.79,kmpl,3.3747777248255977
2014 Nissan Terrano XE 85 PS,3557.71,2014.0,1461.0,Third Party,Manual,90000.0,Second Owner,Diesel,5.0,20.45 kmpl,SUV,Agra,2014.0,60k-100k,83.0,20.45,kmpl,3.3321876228486276
2015 Hyundai Grand i10 Sportz,4113.6,2015.0,1197.0,Third Party,Manual,60000.0,Second Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2015.0,20k-60k,82.0,18.9,kmpl,3.34836425909672
2009 Maruti Wagon R LXI Minor,2167.98,2009.0,1061.0,Third Party,Manual,90000.0,Second Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2009.0,60k-100k,67.0,18.9,kmpl,3.2720495782982733
2009 Chevrolet Spark 1.0 LT Option Pack,31685.84,2009.0,998.0,Third Party,Manual,60000.0,Second Owner,Petrol,5.0,16 kmpl,Hatchback,Agra,2009.0,20k-60k,62.14,16.0,kmpl,3.5205203265693656
2020 Ford Figo Titanium Diesel,6114.81,2020.0,1499.0,Third Party,Manual,60000.0,Second Owner,Diesel,5.0,24.4 kmpl,Hatchback,Agra,2020.0,20k-60k,98.0,24.4,kmpl,3.389480790714058
2015 Honda Jazz 1.5 E i DTEC,4335.96,2015.0,1498.0,Third Party,Manual,90000.0,Second Owner,Diesel,5.0,27.3 kmpl,Hatchback,Agra,2015.0,60k-100k,98.0,26.0,kmpl,3.3540774551425314
2017 Hyundai i10 Magna 1.1L,2779.46,2017.0,1086.0,Third Party,Manual,20000.0,Second Owner,Petrol,5.0,19.81 kmpl,Hatchback,Agra,2017.0,0-20k,68.0,19.81,kmpl,3.303205809563907
2013 Maruti Alto 800 VXI,2223.57,2013.0,998.0,Third Party,Manual,80000.0,First Owner,Petrol,5.0,22.74 kmpl,Hatchback,Agra,2013.0,60k-100k,58.0,22.74,kmpl,3.2753194486452664
2022 Maruti Swift Dzire VXI BSVI,8060.43,2022.0,1197.0,Third Party,Manual,11000.0,First Owner,Petrol,5.0,22.41 kmpl,Sedan,Agra,2022.0,0-20k,88.0,22.41,kmpl,3.4156755143508244
2017 Honda Jazz 1.5 V i DTEC,5003.03,2017.0,1498.0,Third Party,Manual,110000.0,First Owner,Diesel,5.0,27.3 kmpl,Hatchback,Agra,2017.0,100k+,98.0,26.0,kmpl,3.369209010798171
2017 Honda City i-DTEC ZX,8338.38,2017.0,1498.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,25.6 kmpl,Sedan,Agra,2017.0,100k+,97.0,25.6,kmpl,3.418759556158009
2011 Toyota Etios Liva GD,2390.34,2011.0,1364.0,Third Party,Manual,70000.0,Third Owner,Diesel,5.0,23.59 kmpl,Hatchback,Agra,2011.0,60k-100k,88.0,23.59,kmpl,3.2845394783043287
2013 Maruti Alto 800 VXI,2290.28,2013.0,998.0,Third Party,Manual,80000.0,First Owner,Petrol,5.0,22.74 kmpl,Hatchback,Agra,2013.0,60k-100k,58.0,22.74,kmpl,3.2791094051424095
2015 Mahindra XUV500 W8 2WD,6114.81,2015.0,2179.0,Third Party,Manual,120000.0,First Owner,Diesel,7.0,16 kmpl,SUV,Agra,2015.0,100k+,140.0,16.0,kmpl,3.389480790714058
2012 Maruti Wagon R LXI CNG,2779.46,2012.0,998.0,Third Party,Manual,120000.0,First Owner,CNG,5.0,26.2 kmpl,Hatchback,Agra,2012.0,100k+,58.0,26.0,kmpl,3.303205809563907
2013 Maruti Alto 800 VXI,2334.75,2013.0,998.0,Third Party,Manual,80000.0,First Owner,Petrol,5.0,22.74 kmpl,Hatchback,Agra,2013.0,60k-100k,58.0,22.74,kmpl,3.2815590646818955
2011 Toyota Etios V,2779.46,2011.0,1496.0,Third Party,Manual,70000.0,Second Owner,Petrol,5.0,17.6 kmpl,Sedan,Agra,2011.0,60k-100k,88.0,17.6,kmpl,3.303205809563907
2016 Renault KWID RXL,2167.98,2016.0,998.0,Third Party,Manual,60000.0,Second Owner,Petrol,5.0,25.17 kmpl,Hatchback,Agra,2016.0,20k-60k,58.0,25.17,kmpl,3.2720495782982733
2014 Hyundai Grand i10 Sportz,3335.35,2014.0,1197.0,Third Party,Manual,70000.0,Third Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2014.0,60k-100k,82.0,18.9,kmpl,3.324793356995052
2009 Chevrolet Spark 1.0 LT,31685.84,2009.0,998.0,Third Party,Manual,60000.0,Third Owner,Petrol,5.0,18 kmpl,Hatchback,Agra,2009.0,20k-60k,62.0,18.0,kmpl,3.5205203265693656
2009 Chevrolet Spark 1.0 LT,31685.84,2009.0,998.0,Third Party,Manual,60000.0,Second Owner,Petrol,5.0,18 kmpl,Hatchback,Agra,2009.0,20k-60k,62.0,18.0,kmpl,3.5205203265693656
2013 Hyundai Grand i10 CRDi Sportz,2779.46,2013.0,1120.0,Third Party,Manual,100000.0,Second Owner,Diesel,5.0,24 kmpl,Hatchback,Agra,2013.0,60k-100k,70.0,24.000000000000004,kmpl,3.303205809563907
2012 Maruti SX4 ZXI MT BSIV,2167.98,2012.0,1586.0,Third Party,Manual,120000.0,Second Owner,Petrol,5.0,15.5 kmpl,Sedan,Agra,2012.0,100k+,103.0,15.5,kmpl,3.2720495782982733
2019 Maruti Swift Dzire VXI 1.2,7226.6,2019.0,1197.0,Third Party,Manual,40000.0,First Owner,Petrol,5.0,21.21 kmpl,Sedan,Agra,2019.0,20k-60k,81.0,21.21,kmpl,3.405550634802963
2013 Mahindra Scorpio VLX SE BSIV,5558.92,2013.0,2179.0,Third Party,Manual,80000.0,First Owner,Diesel,8.0,15.4 kmpl,SUV,Agra,2013.0,60k-100k,160.92,15.4,kmpl,3.379987401051176
2013 Honda Amaze E i-Dtech,2167.98,2013.0,1498.0,Third Party,Manual,120000.0,First Owner,Diesel,5.0,25.8 kmpl,Sedan,Agra,2013.0,100k+,98.0,25.8,kmpl,3.2720495782982733
2019 Maruti Baleno 1.2 Zeta,6337.17,2019.0,1197.0,Third Party,Manual,80000.0,Second Owner,Petrol,5.0,21.4 kmpl,Hatchback,Agra,2019.0,60k-100k,83.0,21.4,kmpl,3.3929770139242046
2014 Maruti Swift Dzire ZDI,3891.24,2014.0,1248.0,Third Party,Manual,80000.0,Second Owner,Diesel,5.0,23.4 kmpl,Sedan,Agra,2014.0,60k-100k,74.0,23.4,kmpl,3.342246062789089
2014 Honda City i DTEC S,4224.78,2014.0,1498.0,Third Party,Manual,120000.0,Fourth Owner,Diesel,5.0,26 kmpl,Sedan,Agra,2014.0,100k+,98.0,26.0,kmpl,3.3512684478272874
2019 Maruti Vitara Brezza VDi,8671.92,2019.0,1248.0,Third Party,Manual,100000.0,First Owner,Diesel,5.0,24.3 kmpl,SUV,Agra,2019.0,60k-100k,88.0,24.3,kmpl,3.422292953798815
2018 Renault KWID STD,2668.28,2018.0,998.0,Third Party,Manual,20000.0,First Owner,Petrol,5.0,25.17 kmpl,Hatchback,Agra,2018.0,0-20k,58.0,25.17,kmpl,3.2982271018966305
2021 Tata Nexon XM BSVI,9338.99,2021.0,1199.0,Third Party,Manual,11000.0,First Owner,Petrol,5.0,17.33 kmpl,SUV,Agra,2021.0,0-20k,118.0,17.33,kmpl,3.4288694416545207
2013 Ford Ecosport 1.5 DV5 MT Trend,2779.46,2013.0,1498.0,Third Party,Manual,100000.0,Second Owner,Diesel,5.0,22.7 kmpl,SUV,Agra,2013.0,60k-100k,89.0,22.7,kmpl,3.303205809563907
2014 Maruti Swift VDI BSIV,4447.14,2014.0,1248.0,Third Party,Manual,100000.0,Second Owner,Diesel,5.0,25.2 kmpl,Hatchback,Agra,2014.0,60k-100k,74.0,25.2,kmpl,3.356796723820971
2009 Maruti Wagon R LXI Minor,2167.98,2009.0,1061.0,Third Party,Manual,80000.0,First Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2009.0,60k-100k,67.0,18.9,kmpl,3.2720495782982733
2009 Tata Indica Aqua 1.3 Quadrajet,2167.98,2009.0,1248.0,Third Party,Manual,70000.0,Second Owner,Diesel,5.0,18 kmpl,Hatchback,Agra,2009.0,60k-100k,73.97,18.0,kmpl,3.2720495782982733
2020 Mahindra XUV500 W7,14175.25,2020.0,2179.0,Third Party,Manual,50000.0,First Owner,Diesel,7.0,15.1 kmpl,SUV,Agra,2020.0,20k-60k,152.0,15.1,kmpl,3.463575669614945
2015 Datsun GO Plus T BSIV,3001.82,2015.0,1198.0,Third Party,Manual,30000.0,Second Owner,Petrol,7.0,19.44 kmpl,MUV,Agra,2015.0,20k-60k,67.0,19.44,kmpl,3.312446292501444
2012 Chevrolet Beat Diesel,2445.92,2012.0,998.0,Third Party,Manual,70000.0,Second Owner,Diesel,5.0,25.44 kmpl,Hatchback,Agra,2012.0,60k-100k,58.0,25.44,kmpl,3.287432894484297
2017 Ford Aspire 1.5 TDCi Titanium,6670.7,2017.0,1498.0,Third Party,Manual,50000.0,First Owner,Diesel,5.0,25.83 kmpl,Sedan,Agra,2017.0,20k-60k,99.0,25.83,kmpl,3.397939899268065
2016 Mahindra XUV500 W4,10006.06,2016.0,2179.0,Third Party,Manual,50000.0,First Owner,Diesel,7.0,16 kmpl,SUV,Agra,2016.0,20k-60k,140.0,16.0,kmpl,3.4348765613991263
2019 Maruti Wagon R ZXI 1.2,5503.33,2019.0,1197.0,Third Party,Manual,20000.0,First Owner,Petrol,5.0,20.52 kmpl,Hatchback,Agra,2019.0,0-20k,81.0,20.52,kmpl,3.378972216652173
2022 Mahindra XUV300 W8 Option AMT BSVI,10895.48,2022.0,1197.0,Third Party,Automatic,60000.0,First Owner,Petrol,5.0,16.5 kmpl,SUV,Agra,2022.0,20k-60k,108.0,16.5,kmpl,3.442140669120144
2019 Kia Seltos GTX DCT,15287.03,2019.0,1353.0,Third Party,Automatic,20000.0,First Owner,Petrol,5.0,16.2 kmpl,SUV,Agra,2019.0,0-20k,138.0,16.2,kmpl,3.4694541642049432
2015 Maruti Wagon R VXI BS IV,3780.07,2015.0,998.0,Third Party,Manual,40000.0,First Owner,Petrol,5.0,20.51 kmpl,Hatchback,Agra,2015.0,20k-60k,67.0,20.51,kmpl,3.3390187758537926
2020 MG Hector Sharp DCT,14453.19,2020.0,1451.0,Third Party,Automatic,40000.0,Second Owner,Petrol,5.0,13.96 kmpl,SUV,Agra,2020.0,20k-60k,141.0,13.96,kmpl,3.465098696346523
2019 Tata Nexon 1.2 Revotron XT,6670.7,2019.0,1198.0,Third Party,Manual,70000.0,First Owner,Petrol,5.0,17 kmpl,SUV,Agra,2019.0,60k-100k,108.0,17.0,kmpl,3.397939899268065
2012 Honda Brio V MT,3335.35,2012.0,1198.0,Third Party,Manual,60000.0,First Owner,Petrol,5.0,19.4 kmpl,Hatchback,Agra,2012.0,20k-60k,86.0,19.4,kmpl,3.324793356995052
2013 Renault Fluence Diesel E4,5558.92,2013.0,1461.0,Third Party,Manual,120000.0,Second Owner,Diesel,5.0,21.8 kmpl,Sedan,Agra,2013.0,100k+,104.6,21.8,kmpl,3.379987401051176
2020 Toyota Yaris G Optional,12218.51,2020.0,1496.0,Third Party,Manual,40000.0,First Owner,Petrol,5.0,17.1 kmpl,Sedan,Agra,2020.0,20k-60k,105.0,17.1,kmpl,3.4516605066488406
2011 Honda City 1.5 V MT,3891.24,2011.0,1497.0,Third Party,Manual,90000.0,Second Owner,Petrol,5.0,17 kmpl,Sedan,Agra,2011.0,60k-100k,116.39,17.0,kmpl,3.342246062789089
2019 Renault Triber RXL BSIV,4836.26,2019.0,999.0,Third Party,Manual,20000.0,First Owner,Petrol,7.0,20 kmpl,MUV,Agra,2019.0,0-20k,72.0,20.0,kmpl,3.3656760805101302
2012 Maruti Wagon R LXI BS IV,2167.98,2012.0,998.0,Third Party,Manual,100000.0,Second Owner,Petrol,5.0,18.9 kmpl,Hatchback,Agra,2012.0,60k-100k,67.0,18.9,kmpl,3.2720495782982733
